"text","text_en","cmp_code","eu_code"
"KAPITEL 1","CHAPTER 1","H",NA
"Verteidigung der Demokratie in Deutschland","Defense of democracy in Germany","H",NA
"1.1 Ohne Volkssouveränität keine Demokratie","1.1 No democracy without popular sovereignty","H",NA
"Wir wollen Deutschland reformieren und an die Prinzipien und Wurzeln anknüpfen, die zu seinem jahrzehntelangen sozialen,","We want to reform Germany and build on the principles and roots that have led to its decades-long social and economic success,","503",NA
"wirtschaftlichen","economic","410",NA
"und gesellschaftlichen Erfolg geführt haben.","and social success.","601.1",NA
"Die Rechtsstaatlichkeit muss wiederhergestellt werden,","The rule of law must be restored","203",NA
"und der Staat muss seine eigentlichen Kernaufgaben, insbesondere die Gewährleistung der inneren Sicherheit, wieder wahrnehmen.","and the state must resume its actual core tasks, in particular ensuring internal security.","605.1",NA
"Mit den Verträgen von Schengen, Maastricht und Lissabon wurde rechtswidrig in die unantastbare Volkssouveränität eingegriffen.","The Schengen, Maastricht and Lisbon Treaties unlawfully interfered with the inviolable sovereignty of the people.","109",NA
"Ein Staat, der das Grenzregime und damit die Hoheit über sein Staatsgebiet aufgibt, löst sich auf.","A state that gives up the border regime and thus sovereignty over its territory dissolves.","109",NA
"Er verliert seine Eigenstaatlichkeit.","It loses its statehood.","109",NA
"Auch in Deutschland wenden wir uns gegen Zentralismus, Gleichmacherei und Uniformität.","In Germany, too, we oppose centralism, uniformity and uniformity.","109",NA
"Denn wir stehen entschieden für Subsidiarität und Föderalismus.","Because we stand firmly for subsidiarity and federalism.","109",NA
"Starke, eigenständige Bundesländer, Regionen und Kommunen in einem souveränen Deutschland entsprechen dem Ideal freier Völker und vielfältiger kultureller Identitäten.","Strong, independent federal states, regions and municipalities in a sovereign Germany correspond to the ideal of free peoples and diverse cultural identities.","301",NA
"Einheit in Vielfalt statt Selbstaufgabe im Kollektiv ist uns Ursprung und Ziel deutscher Selbstbestimmung.","Unity in diversity instead of self-sacrifice in the collective is for us the origin and goal of German self-determination.","607.1",NA
"Wir wollen den souveränen, demokratischen Nationaltaat erhalten!","We want to preserve the sovereign, democratic national state!","109",NA
"Die AfD steht für die Freiheit und Selbstbestimmung der europäischen Nationen.","The AfD stands for the freedom and self-determination of European nations.","109",NA
"Das bedeutet, dass alle Nationen das Recht haben, sich in souveränen Staaten zu organisieren.","This means that all nations have the right to organize themselves into sovereign states.","109",NA
"Als solche können sie völkerrechtliche Verbindungen eingehen und gemeinsame Interessen als Staatengemeinschaft wahrnehmen.","As such, they can enter into links under international law and pursue common interests as a community of states.","107",NA
"In Europa war dies über die Europäische Wirtschaftsgemeinschaft erfolgreich gelungen.","In Europe, this was successfully achieved through the European Economic Community.","107",NA
"Der Versuch, über die Verträge von Maastricht (1992) und Lissabon (2008) einen „Staatenverbund“ zu schaffen, wie das Bundesverfassungsgericht diese vorbildlose Konstruktion nennt, muss als gescheitert betrachtet werden.","The attempt to create a ""union of states"" via the Treaties of Maastricht (1992) and Lisbon (2008), as the Federal Constitutional Court calls this unprecedented construction, must be considered a failure.","110",NA
"Stattdessen werden durch die EU, die den Anspruch erhebt, kontinentaler Staat zu werden, die existierenden, demokratischen Nationalstaaten in ihrer Funktion eingeschränkt bzw. dauerhaft zerstört.","Instead, the EU, which claims to become a continental state, restricts the existing, democratic nation states in their function or destroys them permanently.","110",NA
