"text","text_en","cmp_code","eu_code"
"Leistung und Sicherheit","Performance and safety",NA,NA
"Zeit für Taten","Time for action",NA,NA
"Regierungsprogramm","Government program",NA,NA
"2002/2006","2002/2006",NA,NA
"Präambel","Preamble",NA,NA
"Es ist Zeit für Taten. Es ist Zeit für die Union.","It is time for action. It's time for the Union.",NA,NA
"Die Menschen in Deutschland arbeiten hart für ihre Zukunft.","People in Germany are working hard for their future.","606",NA
"Sie haben eine Regierung verdient, die hart für die Bürger arbeitet","You deserve a government that works hard for the citizens","305",NA
"und das Land effizient führt","and runs the country efficiently","303",NA
". Leistung und Sicherheit für unser Land – das ist die Chance des 22. September.",". Performance and security for our country - this is the opportunity of September 22.","305",NA
"Gemeinsam werden wir dem Land den Optimismus wiedergeben, die Ärmel hochkrempeln und die Zukunft anpacken.","Together, we will restore optimism to the country, roll up our sleeves and tackle the future.","305",NA
"Nach vier verlorenen Jahren können wir den Kurs für unser Land gemeinsam neu setzen.","After four lost years, we can set a new course for our country together.","305",NA
"Der Wechsel tut not.","The change is necessary.","305",NA
"Diese Bundestagswahl ist auch eine Abstimmung über die letzten vier Jahre.","This federal election is also a vote on the last four years.","305",NA
"Schröder ist der Kanzler des Versprochen – Gebrochen.","Schröder is the chancellor of the promised - broken.","305",NA
"Seine Bilanz ist desolat: mehr als vier Millionen Arbeitslose, ein Gesundheitswesen am Abgrund, gestiegene Steuern und Abgaben.","His record is desolate: more than four million unemployed, a health care system on the brink, increased taxes and duties.","305",NA
"Zu Recht sind die Menschen enttäuscht.","People are rightly disappointed.","305",NA
"Die Mehrheit der Deutschen wird diesen Weg nicht fortsetzen.","The majority of Germans will not continue on this path.","305",NA
"Das rot-grüne Experiment ist gescheitert, es darf kein rot-rotes daraus werden.","The red-green experiment has failed; it must not become a red-red one.","305",NA
"Lassen wir nicht zu, dass Deutschland auf die schiefe Ebene gerät!","Let's not allow Germany to go off the rails!","601",NA
"Nur eine starke Union ist ein Garant dafür, dass der Negativtrend gestoppt und umgekehrt wird.","Only a strong Union can guarantee that the negative trend will be stopped and reversed.","305",NA
"Es gilt heute die richtigen Entscheidungen zu treffen, damit die Jahre und Jahrzehnte vor uns eine gute und erfolgreiche Zeit werden.","We need to make the right decisions today so that the years and decades ahead will be a good and successful time.","305",NA
"Mit uns nimmt Deutschland die Zukunft in Angriff – aus der Mitte des politischen Spektrums und aus der Mitte der Gesellschaft heraus.","With us, Germany is tackling the future - from the middle of the political spectrum and from the middle of society.","305",NA
"Machen wir die Bundestagswahl zum Wendepunkt!","Let's make the federal election a turning point!","305",NA
"Wir wollen gemeinsam etwas leisten für unser Land.","We want to achieve something together for our country.","601",NA
