"text","text_en","cmp_code","eu_code"
"Es ist Zeit für mehr Gerechtigkeit!","It is time for more justice!","H",NA
"2017 ist ein entscheidendes Jahr.","2017 is a decisive year.","000",NA
"Die SPD tritt an, um mit Martin Schulz als Bundeskanzler die Weichen für die Zukunft Deutschlands und Europas zu stellen.","The SPD is running to set the course for the future of Germany and Europe with Martin Schulz as chancellor.","305.1",NA
"Die Wahlen in diesem Jahr sind grundsätzliche Entscheidungen darüber, in welcher Gesellschaft wir leben wollen.","The elections this year are fundamental decisions about what kind of society we want to live in.","000",NA
"Werte, die als selbstverständlich galten, stehen auf dem Spiel.","Values that were taken for granted are at stake.","503",NA
"Für diese Werte kämpfen wir, wie wir es in unserer langen Geschichte immer getan haben.","We fight for these values, as we have always done in our long history.","503",NA
"Für eine Gesellschaft, die jedem Menschen respektvoll und mit Würde begegnet.","For a society that treats every person with respect and dignity.","503",NA
"Unabhängig von Geschlecht, Herkunft, sexueller Identität, Religion.","Regardless of gender, origin, sexual identity, religion.","503",NA
"Unabhängig davon, ob jemand eine Behinderung hat, krank oder pflegebedürftig ist.","Regardless of whether someone has a disability, is ill or in need of care.","503",NA
"Unabhängig von Beschäftigung und Lebensgrundlage.","Regardless of employment and livelihood.","503",NA
"Wir kämpfen für die Freiheit, seine Meinung sagen und veröffentlichen zu können.","We fight for the freedom to speak and publish one's opinion.","202.1",NA
"Für eine freie Presse und eine unabhängige Justiz.","For a free press and an independent judiciary.","202.1",NA
"Wenn wir uns umschauen in Europa und der Welt, sehen wir diese Werte in Gefahr.","When we look around Europe and the world, we see these values in danger.","202.1",NA
"Für diese Werte einzustehen, war der Ursprung der Sozialdemokratie.","Standing up for these values was the origin of social democracy.","202.1",NA
"Dafür stehen wir – damals wie heute.","That's what we stand for - then and now.","202.1",NA
"Unser Land ist heute demokratischer, offener, moderner und freier als jemals zuvor.","Our country today is more democratic, open, modern and free than ever before.","202.1",NA
"Hier leben engagierte Menschen in ihren Familien, mit Freunden und Nachbarn.","Committed people live here with their families, friends and neighbors.","606.1",NA
"Hier arbeiten motivierte Arbeitnehmerinnen und Arbeitnehmer, ebenso wie selbstbewusste Gewerkschaften und erfolgreiche Unternehmen in einer starken sozialen Marktwirtschaft zusammen.","Here, motivated employees, as well as self-confident trade unions and successful companies, work together in a strong social market economy.","405",NA
"Wir sind stolz auf unseren demokratischen Rechtsstaat, der die Würde des Menschen an erste Stelle setzt.","We are proud of our democratic constitutional state, which puts human dignity first.","601.1",NA
"Unser kulturelles Leben ist einzigartig.","Our cultural life is unique.","601.1",NA
"Ebenso wie unsere Zivilgesellschaft mit ihren vielen unterschiedlichen Vereinen, Verbänden und Initiativen, den Wohlfahrtsverbänden, Kirchen und Religionsgemeinschaften, in denen sich Millionen Menschen ehrenamtlich engagieren.","The same applies to our civil society with its many different clubs, associations and initiatives, welfare organizations, churches and religious communities, in which millions of people volunteer their time.","606.1",NA
"Viele sagen, dass es ihnen eigentlich gut geht.","Many say that they are actually doing well.","601.1",NA
"Aber sie spüren auch, dass es in unserer Gesellschaft nicht überall gerecht zugeht.","But they also feel that things are not fair everywhere in our society.","503",NA
"Sie berichten von ihren Schwierigkeiten, den Hoffnungen ihrer Eltern und Zielen ihrer Kinder.","They talk about their difficulties, their parents' hopes and their children's goals.","503",NA
"Alle eint der Wunsch nach einer gerechten Gesellschaft,","They are all united by the desire for a just society","503",NA
"die zusammenhält.","that holds together.","606.1",NA
"Es ist der Wunsch nach einem Land, in dem wir füreinander da sind und uns gegenseitig mit Respekt begegnen.","It is the desire for a country where we are there for each other and treat each other with respect.","606.1",NA
"Mehr Gerechtigkeit und Respekt vor der Lebensleistung aller Menschen stärken unsere Demokratie.","More justice and respect for the life achievements of all people strengthen our democracy.","503",NA
"Dazu gehört, dass in unserem Land der gesellschaftliche Zusammenhalt wieder stärker wird und der anständige Umgang miteinander nicht durch die politische Radikalisierung verloren geht.","This includes ensuring that social cohesion in our country becomes stronger again and that decent dealings with one another are not lost to political radicalization.","606.1",NA
"Wir wollen, dass die Menschen in Deutschland sicher leben können.","We want people to be able to live safely in Germany.","605.1",NA
"Gerechtigkeit ist die zentrale Voraussetzung für Zusammenhalt und Wohlstand.","Justice is the central prerequisite for cohesion and prosperity.","503",NA
"Wir werden Einkommen und Chancen gerechter gestalten.","We will make incomes and opportunities more equitable.","701",NA
"Gesellschaften, die zusammenhalten und sozial gerecht sind, können Probleme besser meistern.","Societies that are cohesive and socially just are better able to cope with problems.","503",NA
"Gerechte Gesellschaften sind wirtschaftlich erfolgreicher und innovativer.","Just societies are more economically successful and innovative.","503",NA
"In gerechteren Gesellschaften sind die Menschen zufriedener und das gegenseitige Vertrauen ist stärker.","In more just societies, people are happier and mutual trust is stronger.","503",NA
"Gerechtigkeit macht unser Land in vielerlei Hinsicht reicher.","Justice makes our country richer in many ways.","503",NA
"Gerechtigkeit bedeutet auch soziale Sicherheit.","Justice also means social security.","503",NA
"Sichere und gute Arbeitsplätze,","Secure and good jobs,","701",NA
"die Zuversicht, dass es gute und gleiche Bildungschancen für alle Kinder gibt,","confidence that there are good and equal educational opportunities for all children,","506",NA
"Soziale Sicherheit und öffentliche Sicherheit gehören zusammen.","Social Security and Public Safety go together.","605.1",NA
"Jede und jeder hat das Recht, sich sicher bewegen zu können.","Everyone has the right to be able to move safely.","605.1",NA
"Der Staat muss für die Sicherheit aller Menschen sorgen.","The state must ensure the safety of all people.","605.1",NA
"Wenn wir für mehr Gerechtigkeit und Sicherheit sorgen, dann zahlt sich das für den Wirtschaftsstandort Deutschland aus.","If we ensure greater justice and security, this will pay off for Germany as a business location.","410",NA
"Für den weltweiten Handel und die Digitalisierung unserer Wirtschaft brauchen wir gerechte Rahmenbedingungen","For global trade and the digitalization of our economy, we need fair framework conditions","412",NA
"und modernste Infrastruktur.","and state-of-the-art infrastructure.","411",NA
"Unser Ziel ist es, die Chancen, die sich aus der Digitalisierung und der weltweiten Vernetzung ergeben, zu nutzen.","Our goal is to take advantage of the opportunities arising from digitization and global networking.","411",NA
"Wirtschaftliche Kraft,","Economic power,","410",NA
"Innovationsfreude,","Innovative spirit,","411",NA
"technologischer Fortschritt,","technological progress,","411",NA
"Nachhaltigkeit","Sustainability","416.2",NA
"und die Bewahrung der natürlichen Lebensgrundlagen sind die Grundlagen für die Zukunft Deutschlands und Europas.","and the preservation of natural resources are the foundations for the future of Germany and Europe.","501",NA
"Die SPD ist Partnerin der Gewerkschaften, der Wirtschaft und der Wissenschaft – denn wirtschaftliche Stärke ist der gemeinsame Erfolg vieler.","The SPD is a partner of the trade unions, business and science - because economic strength is the joint success of many.","410",NA
"Wir wollen eine Gesellschaft der Kultur und Kunst, die unser Leben in vielerlei Hinsicht bereichert und das Nachdenken über uns selbst befördert.","We want a society of culture and art that enriches our lives in many ways and promotes reflection on ourselves.","502",NA
"Internationale Krisen und Zuwanderung stellen Deutschland und Europa vor neue Herausforderungen.","International crises and immigration pose new challenges for Germany and Europe.","107",NA
"Eine offene Gesellschaft braucht eine starke Demokratie,","An open society needs a strong democracy","202.1",NA
"die Zusammenhalt und Solidarität fördert,","that promotes cohesion and solidarity,","606.1",NA
"Regeln durchsetzt und damit Sicherheit gewährleistet.","enforces rules and thus ensures security.","605.1",NA
"Ein friedliches Zusammenleben funktioniert nur mit der Anerkennung von Werten und Regeln, die für alle gleichermaßen gelten.","Peaceful coexistence only works with the recognition of values and rules that apply equally to everyone.","608.1",NA
"Das trifft für Deutschland ebenso zu wie für Europa.","This is as true for Germany as it is for Europe.","608.1",NA
"Die SPD steht wie keine andere Partei für die europäische Idee.","The SPD stands for the European idea like no other party.","108",NA
"Diese Idee eines geeinten Europas ist für mehr als 500 Millionen Menschen das Versprechen auf ein Leben in Frieden, Freiheit, Sicherheit und Wohlstand.","For more than 500 million people, this idea of a united Europe is the promise of a life in peace, freedom, security and prosperity.","108",NA
"Uns geht es um ein wirtschaftlich dynamisches,","What we want is an economically dynamic,","410",NA
"demokratischeres","more democratic","202.1",NA
"und sozialeres Europa,","and more social Europe","503",NA
