"text","text_en","cmp_code","eu_code"
"Moving America Forward 2012 Democratic National Platform",NA,NA,NA
"Moving America Forward",NA,NA,NA
"Four years ago, Democrats, independents, and many Republicans came together as Americans to move our country forward.",NA,"000",NA
"We were in the midst of the greatest economic crisis since the Great Depression,",NA,"408",NA
"the previous administration had put two wars on our nation’s credit card,",NA,"305",NA
"and the American Dream had slipped out of reach for too many.",NA,"601",NA
"Today, our economy is growing again,",NA,"408",NA
"al-Qaeda is weaker than at any point since 9/11,",NA,"104",NA
"and our manufacturing sector is growing for the first time in more than a decade.",NA,"410",NA
"But there is more we need to do, and so we come together again to continue what we started.",NA,"000",NA
"We gather to reclaim the basic bargain that built the largest middle class and the most prosperous nation on Earth –",NA,"601",NA
"the simple principle that in America, hard work should pay off,",NA,"601",NA
"responsibility should be rewarded,",NA,"601",NA
"and each one of us should be able to go as far as our talent and drive take us.",NA,"601",NA
"This election is not simply a choice between two candidates or two political parties,",NA,"000",NA
"but between two fundamentally different paths for our country and our families.",NA,"000",NA
"We Democrats offer America the opportunity to move our country forward by creating an economy built to last and built from the middle out.",NA,"408",NA
"Mitt Romney and the Republican Party have a drastically different vision.",NA,"305",NA
"They still believe the best way to grow the economy is from the top down",NA,"305",NA
"– the same approach that benefited the wealthy few but crashed the economy and crushed the middle class.",NA,"408",NA
"Democrats see a young country continually made stronger by the greatest diversity of talent and ingenuity in the world,",NA,"607",NA
"and a nation of people drawn to our shores from every corner of the globe.",NA,"607",NA
"We believe America can succeed because the American people have never failed",NA,"601",NA
"and there is nothing that together we cannot accomplish.",NA,"601",NA
"Reclaiming the economic security of the middle class is the challenge we must overcome today.",NA,"403",NA
"That begins by restoring the basic values that made our country great,",NA,"601",NA
"and restoring for everyone who works hard and plays by the rules the opportunity to find a job that pays the bills, turn an idea into a profitable business, care for your family, afford a home you call your own and health care you can count on, retire with dignity and respect,",NA,"503",NA
"and, most of all, give your children the kind of education that allows them to dream even bigger and go even further than you ever imagined.",NA,"506",NA
"This has to be our North Star – an economy that’s built not from the top down, but from a growing middle class,",NA,"704",NA
"and that provides ladders of opportunity for those working hard to join the middle class.",NA,"402",NA
"This is not another trivial political argument.",NA,"000",NA
"It’s the defining issue of our time and at the core of the American Dream.",NA,"601",NA
"And now we stand at a make-or-break moment, and are faced with a choice between moving forward and falling back.",NA,"000",NA
"The Republican Party has turned its back on the middle class Americans who built this country.",NA,"305",NA
"Our opponents believe we should go back to the top-down economic policies of the last decade.",NA,"403",NA
"They think that if we simply eliminate protections for families and consumers, let Wall Street write its own rules again, and cut taxes for the wealthiest, the market will solve all our problems on its own.",NA,"305",NA
"They argue that if we help corporations and wealthy investors maximize their profits by whatever means necessary, whether through layoffs or outsourcing, it will automatically translate into jobs and prosperity that benefits us all.",NA,"408",NA
"They would repeal health reform,",NA,"504",NA
"turn Medicare into a voucher program,",NA,NA,NA
"and follow the same path of fiscal irresponsibility of the past administration – giving trillions of dollars in tax cuts weighted towards millionaires and billionaires while sticking the middle class with the bill.",NA,"403",NA
"But we’ve tried their policies – and we’ve all suffered when they failed.",NA,"305",NA
"It is not enough to go back to where the country was before the crisis.",NA,"601",NA
"We must rebuild a strong foundation that ensures it never happens again.",NA,"601",NA
"Democrats know that America prospers when we’re all in it together.",NA,"606",NA
"We see an America where everyone has a fair shot, does their fair share, and plays by the same rules.",NA,"503",NA
"We see an America that out-educates, out-builds, and out-innovates the rest of the world.",NA,"601",NA
"We see an America with greater economic security and opportunity, driven by education, energy, innovation and infrastructure, and a tax code that helps to create American jobs",NA,"408",NA
"and bring down the debt in a balanced way.",NA,"414",NA
