"text","text_en","cmp_code","eu_code"
"Preamble",NA,NA,NA
"With this platform, we the Republican Party reaffirm the principles that unite us in a common purpose.",NA,"601.1",NA
"We believe in American exceptionalism.",NA,"601.1",NA
"We believe the United States of America is unlike any other nation on earth.",NA,"601.1",NA
"We believe America is exceptional because of our historic role",NA,"601.1",NA
"— first as refuge,",NA,"602.2",NA
"then as defender,",NA,"104",NA
"and now as exemplar of liberty for the world to see.",NA,"201.1",NA
"We affirm — as did the Declaration of Independence: that all are created equal, endowed by their Creator with inalienable rights of life, liberty, and the pursuit of happiness.",NA,"601.1",NA
"We believe in the Constitution as our founding document.",NA,"203",NA
"We believe the Constitution was written not as a flexible document, but as our enduring covenant.",NA,"203",NA
"We believe our constitutional system — limited government, separation of powers, federalism, and the rights of the people — must be preserved uncompromised for future generations.",NA,"203",NA
"We believe political freedom and economic freedom are indivisible.",NA,"201.1",NA
"When political freedom and economic freedom are separated — both are in peril; when united, they are invincible.",NA,"201.1",NA
"We believe that people are the ultimate resource",NA,"202.1",NA
"— and that the people, not the government, are the best stewards of our country's God-given natural resources.",NA,"202.1",NA
"As Americans and as Republicans we wish for peace",NA,"106",NA
"— so we insist on strength.",NA,"104",NA
"We will make America safe.",NA,"104",NA
"We seek friendship with all peoples and all nations,",NA,"107",NA
"but we recognize and are prepared to deal with evil in the world.",NA,"104",NA
"Based on these principles, this platform is an invitation and a roadmap.",NA,"601.1",NA
"It invites every American to join us and shows the path to a stronger, safer, and more prosperous America.",NA,"606.2",NA
"This platform is optimistic because the American people are optimistic.",NA,"601.1",NA
"This platform lays out — in clear language — the path to making America great and united again.",NA,"601.1",NA
"For the past 8 years America has been led in the wrong direction.",NA,"305.1",NA
"Our economy has become unnecessarily weak with stagnant wages.",NA,"410",NA
"People living paycheck to paycheck are struggling, sacrificing, and suffering.",NA,"410",NA
"Americans have earned and deserve a strong and healthy economy.",NA,"410",NA
"Our standing in world affairs has declined significantly — our enemies no longer fear us and our friends no long trust us.",NA,"104",NA
"People want and expect an America that is the most powerful and respected country on the face of the earth.",NA,"601.1",NA
"The men and women of our military remain the world's best.",NA,"706",NA
"The have been shortchanged in numbers, equipment, and benefits by a Commander in Chief who treats the Armed Forces and our veterans as a necessary inconvenience.",NA,"104",NA
"The President and the Democratic party have dismantled Americans' system of healthcare.",NA,"505",NA
"They have replaced it with a costly and complicated scheme that limits choices and takes away our freedom.",NA,"201.1",NA
"The President and the Democratic party have abandoned their promise of being accountable to the American people.",NA,"202.1",NA
"They have nearly doubled the size of the national debt.",NA,"414",NA
"They refuse to control our borders",NA,"601.2",NA
"but try to control our schools, farms, businesses, and even our religious institutions.",NA,"201.1",NA
"They have directly attacked the production of American energy",NA,"401",NA
"and the industry-related jobs that have sustained families and communities.",NA,"701",NA
"The President has been regulating to death a free market economy that he does not like and does not understand.",NA,"401",NA
"He defies the laws of the United States by refusing to enforce those with which he does not agree.",NA,"305.2",NA
"And he appoints judges who legislate from the bench rather than apply the law.",NA,"203",NA
"We, as Republicans and Americans, cannot allow this to continue.",NA,"305.1",NA
"That is why the many sections of this platform affirm our trust in the people, our faith in their judgment, and our determination to help them take back their country.",NA,"202.1",NA
"This means removing the power from unelected, unaccountable government.",NA,"202.1",NA
"This means relieving the burden and expense of punishing government regulations.",NA,"401",NA
"And this means returning to the people and the states the control that belongs to them.",NA,"301",NA
"It is the control and the power to make their own decisions about what’s best for themselves and their families and communities.",NA,"202.1",NA
"This platform is many things: A handbook for returning decision-making to the people.",NA,"202.1",NA
"A guide to the constitutional rights of every American.",NA,"203",NA
"And a manual for the kind of sustained growth that will bring opportunity to all those on the sidelines of our society.",NA,"503",NA
"Every time we sing, ""God Bless America,” we are asking for help.",NA,"603",NA
"We ask for divine help that our country can fulfill its promise.",NA,"603",NA
"We earn that help by recommitting ourselves to the ideas and ideals that are the true greatness of America",NA,"601.1",NA
"Restoring the American Dream",NA,"H",NA
"Rebuilding the Economy and Creating Jobs",NA,"H",NA
"We are the party of a growing economy that gives everyone a chance in life, an opportunity to learn, work, and realize the prosperity freedom makes possible.",NA,"410",NA
"Government cannot create prosperity, though government can limit or destroy it.",NA,"401",NA
"Prosperity is the product of self-discipline, enterprise, saving and investment by individuals, but it is not an end in itself.",NA,"401",NA
"Prosperity provides the means by which citizens and their families can maintain their independence from government,",NA,"201.1",NA
"raise their children by their own values,",NA,"603",NA
"practice their faith,",NA,"603",NA
"and build communities of cooperation and mutual respect.",NA,"606.1",NA
"It is also the foundation for our nation's global leadership,",NA,"109",NA
"for it is the vigor of our economy which makes possible our military strength and our national security.",NA,"104",NA
"Pundits and Democrats tell us that we should accept the new normal of a slow-growing economy.",NA,"410",NA
"The consequences are too dire to ever accept that:",NA,"410",NA
"President Obama and his party will set a record of being the first modern president ever to leave office without a single calendar year of three percent economic growth.",NA,"410",NA
"As a result, the number of Americans living in poverty has increased by 7 million,",NA,"503",NA
"our nation's economy has lost nearly $8 trillion of cumulative output compared with an average recovery,",NA,"410",NA
"and the economic growth shortfall has left a cumulative real after-tax per person personal income shortfall of nearly $17,000 compared with an average recovery.",NA,"410",NA
"Under President Obama and the Democrats, new private-sector jobs are three million below where they should have been with just average modern post-recession growth.",NA,"701",NA
"Our labor force participation rate has plunged to at or below 63 percent for far too long, lows last seen two generations ago before President Reagan was elected in 1980.",NA,"701",NA
"Business closures have exceeded business startups throughout the Obama Presidency.",NA,"410",NA
"Strong growth, more jobs, increasing incomes, and expanding opportunity are all in short supply under President Obama and the Democrats.",NA,"410",NA
"We repudiate the absurd idea this is the best America can do.",NA,"601.1",NA
"The American people rejected that nonsense the last time it was offered, in the historic election of 1980,",NA,"410",NA
"and we ask them to join us now to again repudiate the false gospel of America's di- minishment and retreat.",NA,"410",NA
"We offer instead our vision of an opportunity society based on the economics of inclusion.",NA,"503",NA
"Fair and Simple Taxes for Growth",NA,"H",NA
"Republicans consider the establishment of a pro-growth tax code a moral imperative.",NA,"410",NA
"More than any other public policy, the way government raises revenue — how much, at what rates, under what circumstances, from whom, and for whom — has the greatest impact on our economy's performance.",NA,"410",NA
"It powerfully influences the level of economic growth and job creation,",NA,"410",NA
"which translates into the level of opportunity for those who would otherwise be left behind.",NA,"503",NA
"Getting our tax system right will be the most important factor in driving the entire economy back to prosperity.",NA,"410",NA
"The current tax code is rightly the object of both anger and mockery.",NA,"401",NA
"Its length is exceeded only by its complexity.",NA,"401",NA
"We must start anew.",NA,"401",NA
"That will be an enormous undertaking and, if it is to succeed, it must command the attention and approval of the American people.",NA,"606.2",NA
"It cannot be engineered from the top down,",NA,"606.2",NA
"but must have a common sense approach, and be simplified.",NA,"402",NA
"Our proposal is straightforward.",NA,"402",NA
"Wherever tax rates penalize thrift or discourage investment, they must be lowered.",NA,"402",NA
"Wherever current provisions of the code are disincentives for economic growth, they must be changed.",NA,"402",NA
"We will not divide the American people into winners and losers.",NA,"401",NA
"We will eliminate as many special interest provisions and loopholes as possible and curb corporate welfare,",NA,"403",NA
"especially where their erosion of the tax base has created pressure for higher rates.",NA,"403",NA
"We will be mindful of the burdens on families with children",NA,"503",NA
"and the impact on an aging population.",NA,"503",NA
