"text","text_en","cmp_code","eu_code"
"Deutschland.","Germany.","H",NA
"Aber normal.","But normal.","H",NA
"Programm der Alternative für Deutschland für die Wahl zum 20. Deutschen Bundestag","Program of the Alternative for Germany for the election to the 20th German Bundestag","H",NA
"Demokratie und Rechtsstaat 12","Democracy and the rule of law 12",NA,NA
"Das Volk ist der Souverän 12","The people are the sovereign 12",NA,NA
"Volksabstimmungen nach Schweizer Modell 12","Referendums based on the Swiss model 12",NA,NA
"Die Gewaltenteilung gewährleisten 14","Ensuring the separation of powers 14",NA,NA
"Entpolitisierung der Justiz 15","Depoliticization of the judiciary 15",NA,NA
"Verfassungsschutz reformieren 15","Reform constitutional protection 15",NA,NA
"Trennung von Amt und Mandat und Kampf der Ämterpatronage 16","Separation of office and mandate and the fight against office patronage 16",NA,NA
"Macht der Parteien beschränken 16","Limiting the power of the parties 16",NA,NA
"Freie Listenwahl und freies Mandat 17","Free list election and free mandate 17",NA,NA
"Verkleinerung der Parlamente 18","Reduction in the size of parliaments 18",NA,NA
"Berufspolitikertum: Mandats- und Amtszeiten begrenzen 18","Professional politicians: limit terms of office 18",NA,NA
"Lobbyismus eindämmen 18","Curbing lobbying 18",NA,NA
"Freiheit und Verantwortung 19","Freedom and responsibility 19",NA,NA
"Leistung statt Quote - Freiheit statt Diskriminierung 19","Performance instead of quota - freedom instead of discrimination 19",NA,NA
"Schutz der persönlichen Freiheit vor digitalen Übergriffen 20","Protecting personal freedom from digital assaults 20",NA,NA
"Hinweisgeber (Whistleblower) schützen 20","Protect whistleblowers 20",NA,NA
"Bürgerlich- freiheitliche Rechtsordnung 21","Civil liberties legal order 21",NA,NA
"EU und Europa 26","EU and Europe 26",NA,NA
"Ein Europa der Vaterländer 26","A Europe of Fatherlands 26",NA,NA
"Zurückführung der Europäischen Union in einen Staatenbund souveräner Staaten 27","Return of the European Union to a Confederation of Sovereign States 27",NA,NA
"Steuern und Finanzen 32","Taxes and finances 32",NA,NA
"Keine EU-Steuern 32","No EU taxes 32",NA,NA
"Für ein Steuersystem mit wenigen Steuerarten und verständlicher Systematik 32","For a tax system with few tax types and understandable systematics 32",NA,NA
"Abschaffung der Substanzsteuern 33","Abolition of taxes on assets 33",NA,NA
"Wir wollen ein Land von Wohnungseigentümern werden 34","We want to become a country of apartment owners 34",NA,NA
"Elementare Steuergerechtigkeit statt Nominalwertprinzip und Ungleichbehandlung von Steuerbürgern 35","Elementary tax justice instead of nominal value principle and unequal treatment of tax citizens 35",NA,NA
"Besteuerung an Digitalzeitalter anpassen: Einführung einer Digitalsteuer 37","Adapt taxation to the digital age: Introduction of a digital tax 37",NA,NA
"Wirtschaft: Für einen „Blue Deal” 40","Economy: For a ""Blue Deal"" 40",NA,NA
"Wirtschafts- und Innovationspolitik für Deutschland 40","Economic and Innovation Policy for Germany 40",NA,NA
"Den Mittelstand entlasten 41","Relieving the burden on SMEs 41",NA,NA
"Politisch induzierte Belastungen aussetzen 41","Suspend politically induced burdens 41",NA,NA
"Technologieführerschaft mit „Blue Deal” 41","Technology leadership with ""Blue Deal"" 41",NA,NA
"Soziale Marktwirtschaft statt sozialistischer „Industriepolitik“ 43","Social market economy instead of socialist ""industrial policy"" 43",NA,NA
"Der Euro ist gescheitert 48","The euro has failed 48",NA,NA
"Deutschland muss aus dem untergehenden Euro-System austreten 48","Germany must leave the declining euro system 48",NA,NA
"Keine Schuldenaufnahme durch die EU, Hilfskredite nur auf nationaler Ebene 49","No borrowing by the EU, aid loans only at national level 49",NA,NA
"Zusätzliche Inflationierung durch überzogene Corona-Maßnahmen beenden 50","End additional inflation through excessive Corona measures 50",NA,NA
"EZB-Nullzinspolitik beenden 50","End ECB zero interest rate policy 50",NA,NA
"Wohlstand und sozialer Frieden in Europa durch Wiedereinführung nationaler Währungen 53","Prosperity and social peace in Europe through the reintroduction of national currencies 53",NA,NA
"Erhalt des Bargelds: Bargeld ist Freiheit und Schutz vor Enteignung und Totalüberwachung 54","Preservation of cash: Cash is freedom and protection against expropriation and total surveillance 54",NA,NA
"Target-2-Risiko beenden 55","End Target 2 risk 55",NA,NA
"Nationale Investitionen 56","National investments 56",NA,NA
"Absicherung gegen die Eurokrise, Geldsystem reformieren, deutsches Staatsgold vollständig zurück nach Deutschland 56","Hedge against the euro crisis, reform monetary system, German state gold completely back to Germany 56",NA,NA
"Außen- und Verteidigungspolitik 60","Foreign and defense policy 60",NA,NA
"Die Außenpolitik Deutschlands muss sich an deutschen Interessen ausrichten 60","Germany's foreign policy must be aligned with German interests 60",NA,NA
"Das Verhältnis zu wichtigen Staaten im Wandel der Geopolitik 62","The Relationship with Major States in Changing Geopolitics 62",NA,NA
"Wiederherstellung der Wehrfähigkeit Deutschlands 64","Restoration of Germany's military capability 64",NA,NA
"Entwicklungspolitik: Stabilität als Sicherheits- und Wirtschaftsinteresse 66","Development Policy: Stability as a Security and Economic Interest 66",NA,NA
"Deutschland muss seine wirtschaftlichen Stärken ausbauen 68","Germany must build on its economic strengths 68",NA,NA
"Auswärtige Kultur- und Bildungspolitik Deutschlands 69","Germany's foreign cultural and educational policy 69",NA,NA
