"text","text_en","cmp_code","eu_code"
"Das Programm für Stabilität und Erneuerung.","The program for stability and renewal.",NA,NA
"GEMEINSAM FÜR EIN MODERNES DEUTSCHLAND.","TOGETHER FOR A MODERN GERMANY.",NA,NA
"Inhaltsverzeichnis","Table of contents",NA,NA
"Einleitung4","Introduction4",NA,NA
"1. Neue Verantwortung Deutschlands in der Welt - aus Überzeugung für Frieden, Freiheit und Menschenrechte6","1. new responsibility of Germany in the world - out of conviction for peace, freedom and human rights6",NA,NA
"1.1.Stärkung der werte- und regelbasierten internationalen Ordnung6","1.1.Strengthening the values- and rules-based international order6",NA,NA
"1.2.Deutschland als Stabilitätsanker in der globalen Welt7","1.2.Germany as an Anchor of Stability in the Global World7",NA,NA
"1.3.Aufbruch für die transatlantische Partnerschaft8","1.3.A new dawn for the transatlantic partnership8",NA,NA
"1.4.Stabilität in ganz Europa9","1.4.Stability across Europe9",NA,NA
"1.5.Besondere Verantwortung Deutschlands gegenüber Israel10","1.5.Germany's special responsibility towards Israel10",NA,NA
"1.6.Neue Aufmerksamkeit für den asiatisch-pazifischen Raum 11","1.6.New attention to the Asia-Pacific region 11",NA,NA
"1.7.Moderne und voll einsatzbereite Bundeswehr11","1.7.Modern and fully operational Bundeswehr11",NA,NA
"1.8.Für eine nachhaltige Entwicklung in der Einen Welt13","1.8.For Sustainable Development in One World13",NA,NA
"1.9.Für eine Entwicklungspartnerschaft mit Afrika14","1.9.For a development partnership with Africa14",NA,NA
"1.10.Internationaler Klimaschutz zur Bewahrung der Schöpfung15","1.10.International climate protection for the integrity of creation15",NA,NA
"2. NeueWeltpolitikfähigkeit - mit Leidenschaft für ein starkes Europa17","2. newworldpoliticalcapacity - with passion for a strong Europe17",NA,NA
"2.1.Ein starkes Deutschland in einem starken Europa17","2.1.A strong Germany in a strong Europe17",NA,NA
"2.2.Mehr Europa in der Weltpolitik18","2.2.More Europe in world politics18",NA,NA
"2.3.Nachhaltiges Europa20","2.3.Sustainable Europe20",NA,NA
"2.4.Wettbewerbsfähiges und stabiles Europa 21","2.4.Competitive and stable Europe 21",NA,NA
"2.5.Unser Europa der Ordnung und Sicherheit24","2.5.Our Europe of order and security24",NA,NA
"2.6.Für ein modernes, innovatives und digitales Europa28","2.6.For a modern, innovative and digital Europe28",NA,NA
"2.7.Ein handlungsfähiges und bürgernahes Europa30","2.7.A Europe that is capable of action and close to its citizens30",NA,NA
"3. Neuer Wohlstand - mit nachhaltigem Wachstum zum klimaneutralen Industrieland 33","3. new prosperity - with sustainable growth to a climate-neutral industrialized country 33",NA,NA
"3.1.Unser Entfesselungspaket für die Wirtschaft34","3.1.Our unleashing package for the economy34",NA,NA
"3.2.Sichere Arbeit mit Zukunft37","3.2.Safe work with a future37",NA,NA
"3.3.Deutschland als klimaneutrales Industrieland bis 204540","3.3.Germany as a climate-neutral industrialized country by 204540",NA,NA
"3.4.Unser Energiekonzept für die Zukunft42","3.4.Our energy concept for the future42",NA,NA
"3.5.Nachhaltiges Wirtschaften zum Schutz unserer Ressourcen45","3.5.Sustainable management to protect our resources45",NA,NA
