"text","text_en","cmp_code","eu_code"
"„Arbeit, Innovation und Gerechtigkeit“","""Work, innovation and justice""",NA,NA
"SPD-Programm für die Bundestagswahl 1998","SPD program for the 1998 federal elections",NA,NA
"Deutschland braucht einen Politikwechsel: Die Zeit für den Wechsel ist da 5","Germany needs a change of policy: the time for change is now 5",NA,NA
"0 Starke Wirtschaft - Neue Arbeit........... 3","0 Strong Economy - New Work........... 3",NA,NA
"1 Gerechte Steuern und solide Finanzen........... 10","1 Fair taxes and sound finances........... 10",NA,NA
"2 Die innere Einheit vollenden: Eine neue Chance für Ostdeutschland........... 12","2 Completing Inner Unity: A New Chance for East Germany........... 12",NA,NA
"3 Soziale Sicherheit und Gerechtigkeit........... 15","3 Social Security and Justice........... 15",NA,NA
"4 Familien wieder eine Zukunft geben........... 20","4 Giving families a future again........... 20",NA,NA
"5 Frauen nach vorn - Neuer Aufbruch für die Frauenpolitik........... 21","5 Women Forward - New Dawn for Women's Policy........... 21",NA,NA
"6 Jugend braucht Zukunft - Bildung für alle........... 22","6 Youth needs a future - education for all........... 22",NA,NA
"7 Die Chancen des längeren Lebens nutzen - Politik für ältere Menschen........... 24","7 Seizing the opportunities of longer life - policies for older people........... 24",NA,NA
"8 Die ökologische Modernisierung als Jahrhundertchance für Arbeit und Umwelt........... 25","8 Ecological modernization as the opportunity of the century for labor and the environment........... 25",NA,NA
"9 Der Staat als Partner in der freien Bürgergesellschaft........... 27","9 The State as a Partner in a Free Civil Society........... 27",NA,NA
"10 Inneren Frieden bewahren - Innere Sicherheit stärken: ........... 29","10 Preserving internal peace - strengthening internal security: ........... 29",NA,NA
"Entschlossen gegen Kriminalität und gegen ihre Ursachen........... 29","Resolutely against crime and its causes........... 29",NA,NA
"11 Neue Verantwor­tung für das geeinte Deutsch­land in Europa und in der Welt........... 31","11 New Responsibility for a United Germany in Europe and the World........... 31",NA,NA
"SPD: Politik für die Mehrheit 48","SPD: Politics for the majority 48",NA,NA
"Deutschland braucht einen Politikwechsel - Die Zeit für den Wechsel ist da","Germany needs a change of policy - The time for change is now",NA,NA
"Deutschland ist ein starkes Land","Germany is a strong country","601",NA
"Aber es hat eine schwache Bundesregierung","But it has a weak federal government","305",NA
"Unser Land hat große Chancen","Our country has great opportunities","601",NA
"Diese Chancen müssen genutzt werden","These opportunities must be seized","305",NA
"Wir können die Herausforderungen des 21. Jahrhunderts bestehen","We can meet the challenges of the 21st century","000",NA
"Dafür braucht Deutschland eine neue Politik und eine neue Regierung","For this, Germany needs new policies and a new government","305",NA
"Deutschland braucht eine neue Politik für Arbeit, Innovation und Gerechtigkeit","Germany needs a new policy for work, innovation and justice",NA,NA
"Unser Land braucht eine Politik für neue wirtschaftliche Dynamik","Our country needs a policy for new economic dynamism","410",NA
"und für neue Arbeitsplätze","and for new jobs","701",NA
"Eine Politik, die für wirtschaftliche, technologische und ökologische Innovationen sorgt und für gesellschaftlichen Fortschritt","A policy that provides for economic, technological and ecological innovations and for social progress","411",NA
"Eine Politik, die auf gesellschaftlichen Konsens zielt","A policy that aims for social consensus","606",NA
"und auf soziale Gerechtigkeit","and for social justice","503",NA
"Deutschland braucht eine neue Regierung","Germany needs a new government",NA,NA
"Glaubwürdigkeit, Berechenbarkeit und Verläßlichkeit müssen wieder zur Richtschnur der Regierungspolitik werden","Credibility, predictability and reliability must once again become the guiding principles of government policy","305",NA
"Die Menschen in unserem Land wissen aus ihrem täglichen Leben, daß Veränderungen notwendig sind, um die Chancen der neuen Zeit zu nutzen","People in our country know from their daily lives that change is necessary in order to take advantage of the opportunities of the new era","305",NA
"Damit sind sie weiter als ihre bisherige Regierung","They are therefore further ahead than their previous government","305",NA
"Zwischen den Regierenden und den Regierten ist es zu einer tiefgreifenden Entfremdung gekommen","There has been a profound estrangement between those who govern and those who are governed","305",NA
"Wenn es mit Deutschland wieder aufwärts gehen soll, dann führt an einem Regierungswechsel kein Weg mehr vorbei","If Germany is to get back on track, there is no way around a change of government","305",NA
"Deutschland braucht eine neue Aufbruchstimmung","Germany needs a new spirit of optimism","305",NA
"Der Regierungswechsel in Bonn, das ist das beste Sofortprogramm für mehr Wachstum","The change of government in Bonn is the best immediate program for more growth","410",NA
"und neue Arbeitsplätze","and new jobs","701",NA
"Die SPD ist bereit, die Regierungsverantwortung für Deutschland zu übernehmen","The SPD is ready to assume government responsibility for Germany","305",NA
"Wir werden unser Land ins 21. Jahrhundert führen - sicher und gerecht","We will lead our country into the 21st century - safely and fairly","305",NA
"Neue Arbeitsplätze","New jobs",NA,NA
